tamanho,cenario,algoritmo,tempo
100,lista03,Q1_Melhor,3822
100,lista03,Q1_Pior,152024
100,lista03,Q3_Quadratico,58123
100,lista03,Q4_Intersecao,7586
500,lista03,Q1_Melhor,84181
500,lista03,Q1_Pior,158398
500,lista03,Q3_Quadratico,64649
500,lista03,Q4_Intersecao,26986
1000,lista03,Q1_Melhor,225740
1000,lista03,Q1_Pior,484304
1000,lista03,Q3_Quadratico,224007
1000,lista03,Q4_Intersecao,56108
2000,lista03,Q1_Melhor,947073
2000,lista03,Q1_Pior,1815861
2000,lista03,Q3_Quadratico,788062
2000,lista03,Q4_Intersecao,21406
