tamanho,cenario,algoritmo,tempo
100,ordenacao,BubbleSort,274783
100,ordenacao,InsertionSort,84778
100,ordenacao,SelectionSort,125008
100,ordenacao,MergeSort,56194
100,ordenacao,QuickSort,37366
1000,ordenacao,BubbleSort,4659302
1000,ordenacao,InsertionSort,3587966
1000,ordenacao,SelectionSort,3307744
1000,ordenacao,MergeSort,1074903
1000,ordenacao,QuickSort,426530
5000,ordenacao,BubbleSort,20558404
5000,ordenacao,InsertionSort,11111476
5000,ordenacao,SelectionSort,14757548
5000,ordenacao,MergeSort,8384113
5000,ordenacao,QuickSort,582434
