tamanho,cenario,algoritmo,tempo
100,ordenado,Linear,3055
100,ordenado,Binaria,1834
500,ordenado,Linear,7053
500,ordenado,Binaria,1093
1000,ordenado,Linear,13005
1000,ordenado,Binaria,942
2000,ordenado,Linear,26360
2000,ordenado,Binaria,801
5000,ordenado,Linear,64992
5000,ordenado,Binaria,932
100,aleatorio,Bubble,302116
100,aleatorio,Selection,149991
100,aleatorio,Insertion,114635
100,aleatorio,Merge,95760
100,aleatorio,Quick,48000
500,aleatorio,Bubble,4395898
500,aleatorio,Selection,2878084
500,aleatorio,Insertion,2229638
500,aleatorio,Merge,547997
500,aleatorio,Quick,248846
1000,aleatorio,Bubble,1410713
1000,aleatorio,Selection,2585786
1000,aleatorio,Insertion,1140738
1000,aleatorio,Merge,218610
1000,aleatorio,Quick,128561
2000,aleatorio,Bubble,2474016
2000,aleatorio,Selection,10735527
2000,aleatorio,Insertion,2094986
2000,aleatorio,Merge,403396
2000,aleatorio,Quick,243145
5000,aleatorio,Bubble,14006807
5000,aleatorio,Selection,27776800
5000,aleatorio,Insertion,12234926
5000,aleatorio,Merge,794529
5000,aleatorio,Quick,391994
100,aleatorio,ArrayList,1271693
100,aleatorio,LinkedList,702267
100,aleatorio,HashSet,244198
100,aleatorio,TreeSet,480701
500,aleatorio,ArrayList,3730550
500,aleatorio,LinkedList,2476180
500,aleatorio,HashSet,756668
500,aleatorio,TreeSet,1685538
1000,aleatorio,ArrayList,7108570
1000,aleatorio,LinkedList,6944433
1000,aleatorio,HashSet,653455
1000,aleatorio,TreeSet,3364935
2000,aleatorio,ArrayList,19631687
2000,aleatorio,LinkedList,7582068
2000,aleatorio,HashSet,1113226
2000,aleatorio,TreeSet,4613034
5000,aleatorio,ArrayList,17932113
5000,aleatorio,LinkedList,26121447
5000,aleatorio,HashSet,2342650
5000,aleatorio,TreeSet,2470800
100,grafo,BFS,979685
100,grafo,DFS,2330637
100,grafo,Dijkstra,13490830
500,grafo,BFS,2941051
500,grafo,DFS,2533046
500,grafo,Dijkstra,5265457
1000,grafo,BFS,5192119
1000,grafo,DFS,4307772
1000,grafo,Dijkstra,4426996
2000,grafo,BFS,4627361
2000,grafo,DFS,6449526
2000,grafo,Dijkstra,8270929
5000,grafo,BFS,15510144
5000,grafo,DFS,11521780
5000,grafo,Dijkstra,14415443
100,lista03,Linear,4168
100,lista03,Binaria,2345
500,lista03,Linear,6182
500,lista03,Binaria,1092
1000,lista03,Linear,11432
1000,lista03,Binaria,1042
2000,lista03,Linear,24025
2000,lista03,Binaria,1693
5000,lista03,Linear,63239
5000,lista03,Binaria,1573
100,memoria,Array,0
500,memoria,Array,0
1000,memoria,Array,0
2000,memoria,Array,0
5000,memoria,Array,0
