tamanho,algoritmo,media,desvio,mediana,ic_95
100,Array,0.0,,0.0,
500,Array,0.0,,0.0,
1000,Array,0.0,,0.0,
2000,Array,0.0,,0.0,
5000,Array,0.0,,0.0,
100,ArrayList,831480.0,,831480.0,
500,ArrayList,11738507.0,,11738507.0,
1000,ArrayList,14380823.0,,14380823.0,
2000,ArrayList,11624994.0,,11624994.0,
5000,ArrayList,19013721.0,,19013721.0,
100,BFS,4679865.0,,4679865.0,
500,BFS,5782512.0,,5782512.0,
1000,BFS,5581716.0,,5581716.0,
2000,BFS,4931164.0,,4931164.0,
5000,BFS,8975324.0,,8975324.0,
100,Binaria,2184.5,71.4177848998413,2184.5,98.97999999999999
500,Binaria,1122.0,28.284271247461902,1122.0,39.2
1000,Binaria,1052.0,127.27922061357856,1052.0,176.4
2000,Binaria,972.0,28.284271247461902,972.0,39.2
5000,Binaria,1357.0,360.62445840513925,1357.0,499.8
100,Bubble,299238.0,,299238.0,
500,Bubble,3624849.0,,3624849.0,
1000,Bubble,3058002.0,,3058002.0,
2000,Bubble,4006401.0,,4006401.0,
5000,Bubble,27053371.0,,27053371.0,
100,DFS,1377708.0,,1377708.0,
500,DFS,6451910.0,,6451910.0,
1000,DFS,6149435.0,,6149435.0,
2000,DFS,4651492.0,,4651492.0,
5000,DFS,4773981.0,,4773981.0,
100,Dijkstra,15450528.0,,15450528.0,
500,Dijkstra,11338031.0,,11338031.0,
1000,Dijkstra,4036105.0,,4036105.0,
2000,Dijkstra,7772281.0,,7772281.0,
5000,Dijkstra,12566441.0,,12566441.0,
100,HashSet,190366.0,,190366.0,
500,HashSet,683164.0,,683164.0,
1000,HashSet,698713.0,,698713.0,
2000,HashSet,1024911.0,,1024911.0,
5000,HashSet,2446130.0,,2446130.0,
100,Insertion,111728.0,,111728.0,
500,Insertion,1938064.0,,1938064.0,
1000,Insertion,1470702.0,,1470702.0,
2000,Insertion,1954595.0,,1954595.0,
5000,Insertion,10010214.0,,10010214.0,
100,Linear,3572.0,743.876333808248,3572.0,1030.96
500,Linear,6401.5,71.4177848998413,6401.5,98.97999999999999
1000,Linear,12157.5,318.90515831513295,12157.5,441.98
2000,Linear,24866.5,622.9610742253484,24866.5,863.38
5000,Linear,62832.5,78.48885271170677,62832.5,108.77999999999999
100,LinkedList,3868823.0,,3868823.0,
500,LinkedList,6950520.0,,6950520.0,
1000,LinkedList,13267137.0,,13267137.0,
2000,LinkedList,4288055.0,,4288055.0,
5000,LinkedList,25485538.0,,25485538.0,
100,Merge,97512.0,,97512.0,
500,Merge,549855.0,,549855.0,
1000,Merge,231793.0,,231793.0,
2000,Merge,401909.0,,401909.0,
5000,Merge,914545.0,,914545.0,
100,Quick,47017.0,,47017.0,
500,Quick,794880.0,,794880.0,
1000,Quick,170177.0,,170177.0,
2000,Quick,262570.0,,262570.0,
5000,Quick,431033.0,,431033.0,
100,Selection,154078.0,,154078.0,
500,Selection,5043023.0,,5043023.0,
1000,Selection,953879.0,,953879.0,
2000,Selection,1686745.0,,1686745.0,
5000,Selection,9165479.0,,9165479.0,
100,TreeSet,2439638.0,,2439638.0,
500,TreeSet,2223726.0,,2223726.0,
1000,TreeSet,2395176.0,,2395176.0,
2000,TreeSet,3011925.0,,3011925.0,
5000,TreeSet,7009389.0,,7009389.0,
