tamanho,cenario,algoritmo,tempo
100,lista03,Q1_Melhor,3819
100,lista03,Q1_Pior,152287
100,lista03,Q3_Quadratico,54031
100,lista03,Q4_Intersecao,8114
500,lista03,Q1_Melhor,79097
500,lista03,Q1_Pior,153559
500,lista03,Q3_Quadratico,251552
500,lista03,Q4_Intersecao,27690
1000,lista03,Q1_Melhor,183450
1000,lista03,Q1_Pior,436748
1000,lista03,Q3_Quadratico,245809
1000,lista03,Q4_Intersecao,53127
2000,lista03,Q1_Melhor,793946
2000,lista03,Q1_Pior,1884380
2000,lista03,Q3_Quadratico,873932
2000,lista03,Q4_Intersecao,24266
