tamanho,cenario,algoritmo,tempo
100,ordenado,Linear,3341
100,ordenado,Binaria,1613
500,ordenado,Linear,9466
500,ordenado,Binaria,1018
1000,ordenado,Linear,8895
1000,ordenado,Binaria,625
2000,ordenado,Linear,18036
2000,ordenado,Binaria,659
5000,ordenado,Linear,45303
5000,ordenado,Binaria,786
100,aleatorio,Bubble,223578
100,aleatorio,Selection,108595
100,aleatorio,Insertion,76002
100,aleatorio,Merge,74580
100,aleatorio,Quick,36184
500,aleatorio,Bubble,3182895
500,aleatorio,Selection,2488571
500,aleatorio,Insertion,2049064
500,aleatorio,Merge,875091
500,aleatorio,Quick,204468
1000,aleatorio,Bubble,3398814
1000,aleatorio,Selection,951969
1000,aleatorio,Insertion,1190200
1000,aleatorio,Merge,217645
1000,aleatorio,Quick,156143
2000,aleatorio,Bubble,4171495
2000,aleatorio,Selection,9378519
2000,aleatorio,Insertion,1900726
2000,aleatorio,Merge,408554
2000,aleatorio,Quick,255636
5000,aleatorio,Bubble,22892125
5000,aleatorio,Selection,9710627
5000,aleatorio,Insertion,9738037
5000,aleatorio,Merge,1022227
5000,aleatorio,Quick,438267
100,aleatorio,ArrayList,1458435
100,aleatorio,LinkedList,407387
100,aleatorio,HashSet,380818
100,aleatorio,TreeSet,613190
500,aleatorio,ArrayList,5531545
500,aleatorio,LinkedList,3546050
500,aleatorio,HashSet,1895851
500,aleatorio,TreeSet,2727866
1000,aleatorio,ArrayList,11552624
1000,aleatorio,LinkedList,7144951
1000,aleatorio,HashSet,524210
1000,aleatorio,TreeSet,2560699
2000,aleatorio,ArrayList,5146735
2000,aleatorio,LinkedList,4814204
2000,aleatorio,HashSet,861525
2000,aleatorio,TreeSet,2116681
5000,aleatorio,ArrayList,13493656
5000,aleatorio,LinkedList,28979806
5000,aleatorio,HashSet,2125045
5000,aleatorio,TreeSet,2791740
100,grafo,BFS,536607
100,grafo,DFS,4265139
100,grafo,Dijkstra,9587855
500,grafo,BFS,3089173
500,grafo,DFS,3487801
500,grafo,Dijkstra,4937277
1000,grafo,BFS,4446636
1000,grafo,DFS,3621568
1000,grafo,Dijkstra,4432291
2000,grafo,BFS,6346234
2000,grafo,DFS,6869700
2000,grafo,Dijkstra,10819845
5000,grafo,BFS,13127186
5000,grafo,DFS,9710164
5000,grafo,Dijkstra,16761405
100,lista03,Linear,4360
100,lista03,Binaria,1828
500,lista03,Linear,3954
500,lista03,Binaria,625
1000,lista03,Linear,9182
1000,lista03,Binaria,555
2000,lista03,Linear,18145
2000,lista03,Binaria,577
5000,lista03,Linear,47654
5000,lista03,Binaria,882
100,memoria,Array,0
500,memoria,Array,0
1000,memoria,Array,0
2000,memoria,Array,0
5000,memoria,Array,0
