tamanho,algoritmo,media,desvio,mediana,ic_95
100,Array,0.0,,0.0,
500,Array,0.0,,0.0,
1000,Array,0.0,,0.0,
2000,Array,0.0,,0.0,
5000,Array,0.0,,0.0,
100,ArrayList,618162.0,,618162.0,
500,ArrayList,2123087.0,,2123087.0,
1000,ArrayList,3346958.0,,3346958.0,
2000,ArrayList,12584787.0,,12584787.0,
5000,ArrayList,6940567.0,,6940567.0,
100,BFS,2411365.0,,2411365.0,
500,BFS,2834183.0,,2834183.0,
1000,BFS,2915575.0,,2915575.0,
2000,BFS,4135469.0,,4135469.0,
5000,BFS,7784880.0,,7784880.0,
100,Binaria,2379.5,205.76807332528534,2379.5,285.18
500,Binaria,1097.0,7.0710678118654755,1097.0,9.8
1000,Binaria,992.0,14.142135623730951,992.0,19.6
2000,Binaria,1011.5,71.4177848998413,1011.5,98.97999999999999
5000,Binaria,1112.0,70.71067811865476,1112.0,98.0
100,Bubble,353418.0,,353418.0,
500,Bubble,4536486.0,,4536486.0,
1000,Bubble,2142839.0,,2142839.0,
2000,Bubble,2561915.0,,2561915.0,
5000,Bubble,9515296.0,,9515296.0,
100,DFS,1364795.0,,1364795.0,
500,DFS,2881341.0,,2881341.0,
1000,DFS,2876502.0,,2876502.0,
2000,DFS,3088928.0,,3088928.0,
5000,DFS,4966979.0,,4966979.0,
100,Dijkstra,8144358.0,,8144358.0,
500,Dijkstra,3404677.0,,3404677.0,
1000,Dijkstra,3977314.0,,3977314.0,
2000,Dijkstra,7933237.0,,7933237.0,
5000,Dijkstra,13269184.0,,13269184.0,
100,HashSet,185856.0,,185856.0,
500,HashSet,753454.0,,753454.0,
1000,HashSet,500984.0,,500984.0,
2000,HashSet,763954.0,,763954.0,
5000,HashSet,1480760.0,,1480760.0,
100,Insertion,119683.0,,119683.0,
500,Insertion,2326236.0,,2326236.0,
1000,Insertion,1143160.0,,1143160.0,
2000,Insertion,1756744.0,,1756744.0,
5000,Insertion,4734535.0,,4734535.0,
100,Linear,3912.5,234.05234457274722,3912.5,324.37999999999994
500,Linear,7404.0,240.41630560342617,7404.0,333.2
1000,Linear,23534.0,13814.038077260393,23534.0,19145.28
2000,Linear,28322.5,1133.4921702420356,28322.5,1570.9399999999998
5000,Linear,72149.0,5646.954754555769,72149.0,7826.28
100,LinkedList,419102.0,,419102.0,
500,LinkedList,1675543.0,,1675543.0,
1000,LinkedList,2743234.0,,2743234.0,
2000,LinkedList,5255977.0,,5255977.0,
5000,LinkedList,22340883.0,,22340883.0,
100,Merge,108141.0,,108141.0,
500,Merge,872126.0,,872126.0,
1000,Merge,199863.0,,199863.0,
2000,Merge,427206.0,,427206.0,
5000,Merge,575513.0,,575513.0,
100,Quick,51206.0,,51206.0,
500,Quick,741892.0,,741892.0,
1000,Quick,125794.0,,125794.0,
2000,Quick,229548.0,,229548.0,
5000,Quick,304057.0,,304057.0,
100,Selection,163194.0,,163194.0,
500,Selection,4150251.0,,4150251.0,
1000,Selection,3363980.0,,3363980.0,
2000,Selection,3377165.0,,3377165.0,
5000,Selection,8189595.0,,8189595.0,
100,TreeSet,446973.0,,446973.0,
500,TreeSet,1802008.0,,1802008.0,
1000,TreeSet,1892788.0,,1892788.0,
2000,TreeSet,1109629.0,,1109629.0,
5000,TreeSet,1816235.0,,1816235.0,
