tamanho,cenario,algoritmo,tempo
100,ordenacao,BubbleSort,442676
100,ordenacao,InsertionSort,183633
100,ordenacao,SelectionSort,257109
100,ordenacao,MergeSort,194943
100,ordenacao,QuickSort,92863
1000,ordenacao,BubbleSort,9153551
1000,ordenacao,InsertionSort,6603192
1000,ordenacao,SelectionSort,8763656
1000,ordenacao,MergeSort,1448634
1000,ordenacao,QuickSort,502838
5000,ordenacao,BubbleSort,34971361
5000,ordenacao,InsertionSort,24475194
5000,ordenacao,SelectionSort,33989638
5000,ordenacao,MergeSort,179249870
5000,ordenacao,QuickSort,670341
