n,cenario,algoritmo,tempo(ns),memoria(bytes)
1000,aleatorio,Bubble,3233325,0
1000,aleatorio,Insertion,658043,0
1000,aleatorio,Selection,4817806,0
1000,aleatorio,Merge,276549,0
1000,aleatorio,Quick,121037,0
1000,aleatorio,JavaSort,105629,0
1000,ordenado,Bubble,9279,0
1000,ordenado,Insertion,56121,0
1000,ordenado,Selection,368258,0
1000,ordenado,Merge,58448,0
1000,ordenado,Quick,39507,0
1000,ordenado,JavaSort,34429,0
1000,reverso,Bubble,554535,0
1000,reverso,Insertion,298962,0
1000,reverso,Selection,611822,0
1000,reverso,Merge,55792,0
1000,reverso,Quick,42982,0
1000,reverso,JavaSort,63428,0
1000,quase,Bubble,1948164,0
1000,quase,Insertion,47588,0
1000,quase,Selection,603770,0
1000,quase,Merge,65147,0
1000,quase,Quick,40466,0
1000,quase,JavaSort,37689,0
2000,aleatorio,Bubble,2359161,0
2000,aleatorio,Insertion,266203,0
2000,aleatorio,Selection,1418514,0
2000,aleatorio,Merge,179963,0
2000,aleatorio,Quick,112028,0
2000,aleatorio,JavaSort,279138,0
2000,ordenado,Bubble,3087,0
2000,ordenado,Insertion,3592,0
2000,ordenado,Selection,1105965,0
2000,ordenado,Merge,62870,0
2000,ordenado,Quick,63613,0
2000,ordenado,JavaSort,69908,0
2000,reverso,Bubble,1645128,0
2000,reverso,Insertion,498421,0
2000,reverso,Selection,1256330,0
2000,reverso,Merge,80348,0
2000,reverso,Quick,70360,0
2000,reverso,JavaSort,37644,0
2000,quase,Bubble,1929489,0
2000,quase,Insertion,142899,0
2000,quase,Selection,1023988,0
2000,quase,Merge,82106,0
2000,quase,Quick,82187,0
2000,quase,JavaSort,36235,0
5000,aleatorio,Bubble,13192156,0
5000,aleatorio,Insertion,1598216,0
5000,aleatorio,Selection,7821756,0
5000,aleatorio,Merge,511723,0
5000,aleatorio,Quick,355705,0
5000,aleatorio,JavaSort,394022,0
5000,ordenado,Bubble,7658,0
5000,ordenado,Insertion,9579,0
5000,ordenado,Selection,6809876,0
5000,ordenado,Merge,182611,0
5000,ordenado,Quick,199065,0
5000,ordenado,JavaSort,4467,0
5000,reverso,Bubble,8738765,0
5000,reverso,Insertion,3773197,0
5000,reverso,Selection,8651542,0
5000,reverso,Merge,281736,0
5000,reverso,Quick,176608,0
5000,reverso,JavaSort,9057,0
5000,quase,Bubble,7932707,0
5000,quase,Insertion,2350999,0
5000,quase,Selection,8528892,0
5000,quase,Merge,245483,0
5000,quase,Quick,265536,0
5000,quase,JavaSort,64345,0
10000,aleatorio,Bubble,45160823,0
10000,aleatorio,Insertion,10616780,0
10000,aleatorio,Selection,27258879,0
10000,aleatorio,Merge,1232909,0
10000,aleatorio,Quick,789611,0
10000,aleatorio,JavaSort,73831,0
10000,ordenado,Bubble,14926,0
10000,ordenado,Insertion,15283,0
10000,ordenado,Selection,30408587,0
10000,ordenado,Merge,748978,0
10000,ordenado,Quick,438230,0
10000,ordenado,JavaSort,5359,0
10000,reverso,Bubble,35136063,0
10000,reverso,Insertion,14795797,0
10000,reverso,Selection,32434496,0
10000,reverso,Merge,387044,0
10000,reverso,Quick,372617,0
10000,reverso,JavaSort,12859,0
10000,quase,Bubble,36418787,0
10000,quase,Insertion,2001390,0
10000,quase,Selection,26871937,0
10000,quase,Merge,740231,0
10000,quase,Quick,551802,0
10000,quase,JavaSort,58300,0
