n,cenario,algoritmo,media,min,max,desvio,memoria
1000,aleatorio,Bubble,11443636,4168450,21757427,5047499.979034732,0
1000,aleatorio,Insertion,2657272,1586017,3537524,546824.2455139837,0
1000,aleatorio,Selection,1387760,895450,2897993,715500.788928723,0
1000,aleatorio,Merge,173916,112019,540227,118744.68500026643,0
1000,aleatorio,Quick,123552,80100,611530,129056.40354656952,0
1000,aleatorio,JavaSort,110400,83816,164236,23285.134991287898,0
1000,ordenado,Bubble,9668,7084,35957,6854.1058087470465,0
1000,ordenado,Insertion,9011,8336,12834,1118.241113311436,0
1000,ordenado,Selection,363195,336297,392111,12896.51106404364,0
1000,ordenado,Merge,86562,82173,90198,1946.8391048055307,0
1000,ordenado,Quick,64979,60703,79698,4216.499503438842,0
1000,ordenado,JavaSort,30935,30547,32160,379.9207976670927,0
1000,reverso,Bubble,1934519,463123,3189084,1098126.2686887379,0
1000,reverso,Insertion,670913,130112,942156,313487.0972100566,0
1000,reverso,Selection,313609,293828,499191,48609.84470248799,0
1000,reverso,Merge,60783,57016,80650,5326.016587234779,0
1000,reverso,Quick,44108,41527,58559,3994.1299584515273,0
1000,reverso,JavaSort,55777,53050,62046,2692.8982063939957,0
1000,quase,Bubble,434028,414382,454337,11794.524402238523,0
1000,quase,Insertion,24342,18194,37931,7923.970619266581,0
1000,quase,Selection,366683,340555,389686,15593.997042131308,0
1000,quase,Merge,87131,57587,174115,25101.396212412168,0
1000,quase,Quick,41364,37660,49913,4439.754568103962,0
1000,quase,JavaSort,53162,44202,78606,9958.875880966687,0
2000,aleatorio,Bubble,1986971,1760782,2480774,251432.60919130995,0
2000,aleatorio,Insertion,267609,248584,312202,19293.184282279584,0
2000,aleatorio,Selection,1252981,992760,1593761,232541.49542796658,0
2000,aleatorio,Merge,152315,93113,214199,42758.44119951638,0
2000,aleatorio,Quick,112057,107590,133880,6408.801838097353,0
2000,aleatorio,JavaSort,82529,66884,137626,16523.75886791501,0
2000,ordenado,Bubble,2550,2305,3115,202.96951741579326,0
2000,ordenado,Insertion,4396,4178,4559,108.96931907651805,0
2000,ordenado,Selection,1099777,932568,1399957,180114.77752290343,0
2000,ordenado,Merge,81083,59682,114223,23788.022306404542,0
2000,ordenado,Quick,59756,56565,71703,4154.2385809556,0
2000,ordenado,JavaSort,55596,53880,58850,1253.8821465751876,0
2000,reverso,Bubble,3950682,1724374,10778121,2933215.8405657243,0
2000,reverso,Insertion,957143,844284,1976695,274157.8098986741,0
2000,reverso,Selection,1195137,1171804,1321393,35373.358136809686,0
